"global_step","251221_A2C - train/final_neg_count","251221_A2C - train/final_neg_count__MIN","251221_A2C - train/final_neg_count__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"363500","15","15","15","726","726","726"
"364000","15","15","15","727","727","727"
"364500","15","15","15","728","728","728"
"365000","15","15","15","729","729","729"
"365500","15","15","15","730","730","730"
"366000","15","15","15","731","731","731"
"366500","6","6","6","732","732","732"
"367000","6","6","6","733","733","733"
"367500","15","15","15","734","734","734"
"368000","15","15","15","735","735","735"
"368500","15","15","15","736","736","736"
"369000","15","15","15","737","737","737"
"369500","15","15","15","738","738","738"
"370000","15","15","15","739","739","739"
"370500","15","15","15","740","740","740"
"371000","15","15","15","741","741","741"
"371500","15","15","15","742","742","742"
"372000","15","15","15","743","743","743"
"372500","15","15","15","744","744","744"
"373000","15","15","15","745","745","745"
"373500","15","15","15","746","746","746"
"374000","15","15","15","747","747","747"
"374500","6","6","6","748","748","748"
"375000","5","5","5","749","749","749"
"375500","5","5","5","750","750","750"
"376000","5","5","5","751","751","751"
"376500","5","5","5","752","752","752"
"377000","5","5","5","753","753","753"
"377500","5","5","5","754","754","754"
"378000","15","15","15","755","755","755"
"378500","15","15","15","756","756","756"
"379000","15","15","15","757","757","757"
"379500","15","15","15","758","758","758"
"380000","15","15","15","759","759","759"
"380500","15","15","15","760","760","760"
"381000","15","15","15","761","761","761"
"381500","15","15","15","762","762","762"
"382000","15","15","15","763","763","763"
"382500","12","12","12","764","764","764"
"383000","15","15","15","765","765","765"
"383500","15","15","15","766","766","766"
"384000","15","15","15","767","767","767"
"384500","15","15","15","768","768","768"
"385000","15","15","15","769","769","769"
"385500","15","15","15","770","770","770"
"386000","15","15","15","771","771","771"
"386500","11","11","11","772","772","772"
"387000","13","13","13","773","773","773"
"387500","6","6","6","774","774","774"
"388000","7","7","7","775","775","775"
"388500","12","12","12","776","776","776"
"389000","8","8","8","777","777","777"
"389500","8","8","8","778","778","778"
"390000","6","6","6","779","779","779"
"390500","5","5","5","780","780","780"
"391000","6","6","6","781","781","781"
"391500","7","7","7","782","782","782"
"392000","6","6","6","783","783","783"
"392500","5","5","5","784","784","784"
"393000","7","7","7","785","785","785"
"393500","5","5","5","786","786","786"
"394000","14","14","14","787","787","787"
