"global_step","251221_A2C - train/final_pos_count","251221_A2C - train/final_pos_count__MIN","251221_A2C - train/final_pos_count__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"368500","15","15","15","736","736","736"
"369000","15","15","15","737","737","737"
"369500","15","15","15","738","738","738"
"370000","13","13","13","739","739","739"
"370500","15","15","15","740","740","740"
"371000","15","15","15","741","741","741"
"371500","15","15","15","742","742","742"
"372000","15","15","15","743","743","743"
"372500","15","15","15","744","744","744"
"373000","15","15","15","745","745","745"
"373500","15","15","15","746","746","746"
"374000","15","15","15","747","747","747"
"374500","15","15","15","748","748","748"
"375000","15","15","15","749","749","749"
"375500","15","15","15","750","750","750"
"376000","15","15","15","751","751","751"
"376500","15","15","15","752","752","752"
"377000","15","15","15","753","753","753"
"377500","15","15","15","754","754","754"
"378000","15","15","15","755","755","755"
"378500","15","15","15","756","756","756"
"379000","15","15","15","757","757","757"
"379500","15","15","15","758","758","758"
"380000","15","15","15","759","759","759"
"380500","15","15","15","760","760","760"
"381000","15","15","15","761","761","761"
"381500","15","15","15","762","762","762"
"382000","7","7","7","763","763","763"
"382500","10","10","10","764","764","764"
"383000","15","15","15","765","765","765"
"383500","15","15","15","766","766","766"
"384000","15","15","15","767","767","767"
"384500","7","7","7","768","768","768"
"385000","15","15","15","769","769","769"
"385500","13","13","13","770","770","770"
"386000","13","13","13","771","771","771"
"386500","7","7","7","772","772","772"
"387000","6","6","6","773","773","773"
"387500","8","8","8","774","774","774"
"388000","6","6","6","775","775","775"
"388500","15","15","15","776","776","776"
"389000","6","6","6","777","777","777"
"389500","14","14","14","778","778","778"
"390000","11","11","11","779","779","779"
"390500","13","13","13","780","780","780"
"391000","8","8","8","781","781","781"
"391500","8","8","8","782","782","782"
"392000","11","11","11","783","783","783"
"392500","15","15","15","784","784","784"
"393000","15","15","15","785","785","785"
"393500","15","15","15","786","786","786"
"394000","7","7","7","787","787","787"
