"global_step","251213_useLessPoint - train/final_neg_count","251213_useLessPoint - train/final_neg_count__MIN","251213_useLessPoint - train/final_neg_count__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"1132000","6","6","6","565","565","565"
"1134000","9","9","9","566","566","566"
"1136000","9","9","9","567","567","567"
"1138000","6","6","6","568","568","568"
"1140000","5","5","5","569","569","569"
"1142000","10","10","10","570","570","570"
"1144000","8","8","8","571","571","571"
"1146000","7","7","7","572","572","572"
"1148000","8","8","8","573","573","573"
"1150000","6","6","6","574","574","574"
"1152000","9","9","9","575","575","575"
"1154000","4","4","4","576","576","576"
"1156000","7","7","7","577","577","577"
"1158000","8","8","8","578","578","578"
"1160000","10","10","10","579","579","579"
"1162000","3","3","3","580","580","580"
"1164000","5","5","5","581","581","581"
"1166000","7","7","7","582","582","582"
"1168000","13","13","13","583","583","583"
"1170000","7","7","7","584","584","584"
"1172000","7","7","7","585","585","585"
"1174000","9","9","9","586","586","586"
"1176000","5","5","5","587","587","587"
"1178000","5","5","5","588","588","588"
"1180000","8","8","8","589","589","589"
"1182000","9","9","9","590","590","590"
"1184000","7","7","7","591","591","591"
"1186000","6","6","6","592","592","592"
"1188000","9","9","9","593","593","593"
"1190000","6","6","6","594","594","594"
"1192000","9","9","9","595","595","595"
"1194000","8","8","8","596","596","596"
"1196000","4","4","4","597","597","597"
"1198000","8","8","8","598","598","598"
"1200000","7","7","7","599","599","599"
"1202000","10","10","10","600","600","600"
"1204000","10","10","10","601","601","601"
"1206000","8","8","8","602","602","602"
"1208000","9","9","9","603","603","603"
"1210000","8","8","8","604","604","604"
"1212000","9","9","9","605","605","605"
"1214000","11","11","11","606","606","606"
"1216000","10","10","10","607","607","607"
"1218000","6","6","6","608","608","608"
"1220000","7","7","7","609","609","609"
"1222000","8","8","8","610","610","610"
"1224000","6","6","6","611","611","611"
"1226000","5","5","5","612","612","612"
"1228000","11","11","11","613","613","613"
"1230000","8","8","8","614","614","614"
"1232000","6","6","6","615","615","615"
"1234000","6","6","6","616","616","616"
"1236000","10","10","10","617","617","617"
"1238000","12","12","12","618","618","618"
"1240000","6","6","6","619","619","619"
"1242000","12","12","12","620","620","620"
"1244000","11","11","11","621","621","621"
"1246000","10","10","10","622","622","622"
"1248000","10","10","10","623","623","623"
"1250000","8","8","8","624","624","624"
"1252000","4","4","4","625","625","625"
"1254000","10","10","10","626","626","626"
"1256000","7","7","7","627","627","627"
"1258000","5","5","5","628","628","628"
"1260000","9","9","9","629","629","629"
"1262000","7","7","7","630","630","630"
"1264000","7","7","7","631","631","631"
"1266000","7","7","7","632","632","632"
"1268000","13","13","13","633","633","633"
"1270000","6","6","6","634","634","634"
"1272000","9","9","9","635","635","635"
"1274000","10","10","10","636","636","636"
"1276000","12","12","12","637","637","637"
"1278000","5","5","5","638","638","638"
"1280000","5","5","5","639","639","639"
"1282000","4","4","4","640","640","640"
"1284000","10","10","10","641","641","641"
"1286000","5","5","5","642","642","642"
"1288000","9","9","9","643","643","643"
"1290000","6","6","6","644","644","644"
"1292000","4","4","4","645","645","645"
"1294000","10","10","10","646","646","646"
"1296000","3","3","3","647","647","647"
"1298000","11","11","11","648","648","648"
"1300000","13","13","13","649","649","649"
"1302000","9","9","9","650","650","650"
"1304000","8","8","8","651","651","651"
"1306000","8","8","8","652","652","652"
"1308000","9","9","9","653","653","653"
"1310000","9","9","9","654","654","654"
"1312000","10","10","10","655","655","655"
"1314000","11","11","11","656","656","656"
"1316000","10","10","10","657","657","657"
"1318000","9","9","9","658","658","658"
"1320000","10","10","10","659","659","659"
"1322000","7","7","7","660","660","660"
"1324000","10","10","10","661","661","661"
"1326000","4","4","4","662","662","662"
"1328000","6","6","6","663","663","663"
"1330000","6","6","6","664","664","664"
"1332000","7","7","7","665","665","665"
"1334000","9","9","9","666","666","666"
"1336000","12","12","12","667","667","667"
"1338000","11","11","11","668","668","668"
"1340000","8","8","8","669","669","669"
"1342000","8","8","8","670","670","670"
"1344000","8","8","8","671","671","671"
"1346000","7","7","7","672","672","672"
"1348000","10","10","10","673","673","673"
"1350000","9","9","9","674","674","674"
"1352000","6","6","6","675","675","675"
"1354000","5","5","5","676","676","676"
"1356000","9","9","9","677","677","677"
"1358000","7","7","7","678","678","678"
"1360000","12","12","12","679","679","679"
"1362000","9","9","9","680","680","680"
"1364000","9","9","9","681","681","681"
"1366000","12","12","12","682","682","682"
"1368000","11","11","11","683","683","683"
"1370000","9","9","9","684","684","684"
"1372000","13","13","13","685","685","685"
"1374000","8","8","8","686","686","686"
"1376000","11","11","11","687","687","687"
"1378000","12","12","12","688","688","688"
"1380000","7","7","7","689","689","689"
"1382000","7","7","7","690","690","690"
"1384000","6","6","6","691","691","691"
"1386000","11","11","11","692","692","692"
"1388000","9","9","9","693","693","693"
"1390000","8","8","8","694","694","694"
"1392000","11","11","11","695","695","695"
"1394000","11","11","11","696","696","696"
"1396000","10","10","10","697","697","697"
"1398000","11","11","11","698","698","698"
"1400000","11","11","11","699","699","699"
"1402000","9","9","9","700","700","700"
"1404000","8","8","8","701","701","701"
"1406000","10","10","10","702","702","702"
"1408000","11","11","11","703","703","703"
"1410000","11","11","11","704","704","704"
"1412000","7","7","7","705","705","705"
"1414000","13","13","13","706","706","706"
"1416000","12","12","12","707","707","707"
"1418000","11","11","11","708","708","708"
"1420000","9","9","9","709","709","709"
"1422000","12","12","12","710","710","710"
"1424000","10","10","10","711","711","711"
"1426000","13","13","13","712","712","712"
"1428000","11","11","11","713","713","713"
"1430000","12","12","12","714","714","714"
"1432000","7","7","7","715","715","715"
"1434000","11","11","11","716","716","716"
"1436000","13","13","13","717","717","717"
"1438000","9","9","9","718","718","718"
"1440000","14","14","14","719","719","719"
"1442000","12","12","12","720","720","720"
"1444000","15","15","15","721","721","721"
"1446000","9","9","9","722","722","722"
"1448000","13","13","13","723","723","723"
"1450000","12","12","12","724","724","724"
"1452000","15","15","15","725","725","725"
"1454000","10","10","10","726","726","726"
"1456000","9","9","9","727","727","727"
"1458000","11","11","11","728","728","728"
"1460000","11","11","11","729","729","729"
"1462000","9","9","9","730","730","730"
"1464000","14","14","14","731","731","731"
"1466000","12","12","12","732","732","732"
"1468000","15","15","15","733","733","733"
"1470000","10","10","10","734","734","734"
"1472000","11","11","11","735","735","735"
"1474000","10","10","10","736","736","736"
"1476000","13","13","13","737","737","737"
"1478000","13","13","13","738","738","738"
"1480000","14","14","14","739","739","739"
"1482000","12","12","12","740","740","740"
"1484000","12","12","12","741","741","741"
"1486000","11","11","11","742","742","742"
"1488000","12","12","12","743","743","743"
"1490000","10","10","10","744","744","744"
"1492000","11","11","11","745","745","745"
"1494000","10","10","10","746","746","746"
"1496000","12","12","12","747","747","747"
"1498000","11","11","11","749","749","749"
"1500000","13","13","13","750","750","750"
